Name,Low IP,High IP,Malware Type,Confidence,Severity,ASN,Org,Country,Description,Last Seen
176.100.4.31,176.100.4.31,176.100.4.31,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
176.28.17.160,176.28.17.160,176.28.17.160,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
176.31.117.84,176.31.117.84,176.31.117.84,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
176.45.11.226,176.45.11.226,176.45.11.226,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
176.45.53.222,176.45.53.222,176.45.53.222,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
177.130.82.197,177.130.82.197,177.130.82.197,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
177.170.201.134,177.170.201.134,177.170.201.134,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
177.75.5.222,177.75.5.222,177.75.5.222,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
177.87.0.7,177.87.0.7,177.87.0.7,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
177.94.21.110,177.94.21.110,177.94.21.110,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
178.128.197.110,178.128.197.110,178.128.197.110,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
178.128.23.9,178.128.23.9,178.128.23.9,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
178.128.83.165,178.128.83.165,178.128.83.165,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
178.238.236.59,178.238.236.59,178.238.236.59,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
178.254.33.197,178.254.33.197,178.254.33.197,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
178.33.123.234,178.33.123.234,178.33.123.234,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
178.33.13.40,178.33.13.40,178.33.13.40,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
178.62.205.130,178.62.205.130,178.62.205.130,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
178.79.147.66,178.79.147.66,178.79.147.66,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
178.79.150.86,178.79.150.86,178.79.150.86,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
179.189.229.254,179.189.229.254,179.189.229.254,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
18.195.23.231,18.195.23.231,18.195.23.231,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
181.112.157.42,181.112.157.42,181.112.157.42,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
181.118.183.94,181.118.183.94,181.118.183.94,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
181.129.167.82,181.129.167.82,181.129.167.82,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
181.143.251.154,181.143.251.154,181.143.251.154,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
181.4.53.6,181.4.53.6,181.4.53.6,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
182.176.180.73,182.176.180.73,182.176.180.73,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
182.253.106.35,182.253.106.35,182.253.106.35,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
182.253.210.130,182.253.210.130,182.253.210.130,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
185.122.58.89,185.122.58.89,185.122.58.89,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
185.143.48.16,185.143.48.16,185.143.48.16,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
185.148.168.220,185.148.168.220,185.148.168.220,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
185.148.168.25,185.148.168.25,185.148.168.25,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
185.157.82.209,185.157.82.209,185.157.82.209,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
185.164.32.148,185.164.32.148,185.164.32.148,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
185.168.130.138,185.168.130.138,185.168.130.138,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
185.250.148.74,185.250.148.74,185.250.148.74,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
185.30.32.51,185.30.32.51,185.30.32.51,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
185.53.147.51,185.53.147.51,185.53.147.51,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
185.56.175.122,185.56.175.122,185.56.175.122,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
185.56.219.47,185.56.219.47,185.56.219.47,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
185.94.172.15,185.94.172.15,185.94.172.15,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
186.18.205.199,186.18.205.199,186.18.205.199,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
186.235.48.8,186.235.48.8,186.235.48.8,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
186.250.48.123,186.250.48.123,186.250.48.123,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
186.32.163.199,186.32.163.199,186.32.163.199,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
186.4.193.75,186.4.193.75,186.4.193.75,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
187.116.124.82,187.116.124.82,187.116.124.82,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
187.149.227.40,187.149.227.40,187.149.227.40,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
187.156.134.254,187.156.134.254,187.156.134.254,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
187.156.169.68,187.156.169.68,187.156.169.68,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
