Name,Low IP,High IP,Malware Type,Confidence,Severity,ASN,Org,Country,Description,Last Seen
212.112.86.37,212.112.86.37,212.112.86.37,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
212.237.17.99,212.237.17.99,212.237.17.99,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
213.136.86.165,213.136.86.165,213.136.86.165,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
213.190.4.223,213.190.4.223,213.190.4.223,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
216.10.251.121,216.10.251.121,216.10.251.121,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
216.108.227.55,216.108.227.55,216.108.227.55,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
216.177.161.118,216.177.161.118,216.177.161.118,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
217.17.56.163,217.17.56.163,217.17.56.163,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
217.79.184.243,217.79.184.243,217.79.184.243,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
23.160.193.106,23.160.193.106,23.160.193.106,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
24.162.214.166,24.162.214.166,24.162.214.166,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
27.223.92.142,27.223.92.142,27.223.92.142,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
36.37.99.242,36.37.99.242,36.37.99.242,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
36.66.188.251,36.66.188.251,36.66.188.251,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
36.67.97.127,36.67.97.127,36.67.97.127,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
36.89.98.183,36.89.98.183,36.89.98.183,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
36.91.36.29,36.91.36.29,36.91.36.29,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
36.92.59.93,36.92.59.93,36.92.59.93,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
36.95.110.19,36.95.110.19,36.95.110.19,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
37.187.115.122,37.187.115.122,37.187.115.122,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
37.247.35.130,37.247.35.130,37.247.35.130,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
37.59.103.148,37.59.103.148,37.59.103.148,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
43.229.206.212,43.229.206.212,43.229.206.212,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
43.229.206.214,43.229.206.214,43.229.206.214,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
43.229.206.244,43.229.206.244,43.229.206.244,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
43.252.158.104,43.252.158.104,43.252.158.104,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
43.252.159.190,43.252.159.190,43.252.159.190,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
45.201.134.202,45.201.134.202,45.201.134.202,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
45.33.20.41,45.33.20.41,45.33.20.41,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
45.33.33.91,45.33.33.91,45.33.33.91,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
45.56.121.87,45.56.121.87,45.56.121.87,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
45.76.176.10,45.76.176.10,45.76.176.10,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
45.77.0.96,45.77.0.96,45.77.0.96,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
45.79.33.48,45.79.33.48,45.79.33.48,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
45.79.91.89,45.79.91.89,45.79.91.89,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
45.90.108.123,45.90.108.123,45.90.108.123,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
46.101.142.214,46.101.142.214,46.101.142.214,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
46.101.182.168,46.101.182.168,46.101.182.168,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
46.101.90.205,46.101.90.205,46.101.90.205,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
46.99.175.217,46.99.175.217,46.99.175.217,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
47.72.219.120,47.72.219.120,47.72.219.120,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
49.156.34.134,49.156.34.134,49.156.34.134,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
5.182.210.132,5.182.210.132,5.182.210.132,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
5.199.162.48,5.199.162.48,5.199.162.48,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
5.34.74.210,5.34.74.210,5.34.74.210,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
5.39.99.208,5.39.99.208,5.39.99.208,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
50.116.23.195,50.116.23.195,50.116.23.195,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
50.116.54.215,50.116.54.215,50.116.54.215,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
